,Ind_ID,Gender,Car_owner,Property_owner,Children,Annual_income,Type_income,Education,Marital_status,Housing_type,Age,Employed_since,Type_occupation,Family_members,label
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.0,0.0,Other,2,1
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,Other,2,1
2,5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,44.0,2.0,Other,2,1
3,5009749,F,Y,N,0,191399.33,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,Other,2,1
4,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,Other,2,1
5,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,Other,2,1
6,5009894,F,N,N,0,180000.0,Pensioner,Secondary,Married,House / apartment,61.0,0.0,Other,2,1
7,5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary,Married,House / apartment,50.0,2.0,Core staff,3,1
8,5010868,M,Y,Y,1,450000.0,Pensioner,Secondary,Married,House / apartment,50.0,2.0,Core staff,3,1
9,5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary,Not married,House / apartment,50.0,2.0,Core staff,1,1
10,5018498,F,Y,Y,0,90000.0,Working,Secondary,Married,House / apartment,52.0,3.0,Cooking staff,2,1
11,5018501,F,Y,Y,0,191399.33,Working,Secondary,Married,House / apartment,52.0,3.0,Cooking staff,2,1
12,5018503,F,Y,Y,0,90000.0,Working,Secondary,Married,House / apartment,52.0,3.0,Cooking staff,2,1
13,5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24.0,3.0,Other,3,1
14,5021310,M,N,Y,0,270000.0,Working,Secondary,Married,House / apartment,46.0,1.0,Laborers,2,1
15,5021314,M,N,Y,0,270000.0,Working,Secondary,Not married,House / apartment,46.0,1.0,Laborers,2,1
16,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Not married,House / apartment,52.0,7.0,Sales staff,1,1
17,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Not married,House / apartment,52.0,7.0,Sales staff,1,1
18,5021998,M,N,Y,0,90000.0,Pensioner,Secondary,Married,House / apartment,52.0,5.0,Other,2,1
19,5022053,M,N,N,0,202500.0,Working,Higher education,Not married,House / apartment,35.0,12.0,Other,1,1
20,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary,Civil marriage,House / apartment,33.0,5.0,Laborers,2,1
21,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,49.0,3.0,Accountants,2,1
22,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary,Married,House / apartment,33.0,3.0,Sales staff,4,1
23,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,44.0,2.0,Laborers,2,1
24,5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,43.0,1.0,Other,2,1
25,5024916,F,N,Y,0,112500.0,Pensioner,Secondary,Married,House / apartment,60.0,0.0,Other,2,1
26,5024917,F,N,Y,0,191399.33,Pensioner,Secondary,Married,House / apartment,60.0,0.0,Other,2,1
27,5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Managers,2,1
28,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Not married,Rented apartment,33.0,13.0,Cleaning staff,2,1
29,5029311,F,N,Y,0,112500.0,Pensioner,Secondary,Married,House / apartment,60.0,0.0,Other,2,1
30,5033453,F,N,N,0,135000.0,Working,Higher education,Not married,House / apartment,29.0,7.0,Laborers,1,1
31,5033514,F,Y,N,1,135000.0,Working,Secondary,Married,House / apartment,44.0,1.0,Sales staff,3,1
32,5033916,M,N,Y,0,180000.0,Working,Secondary,Married,House / apartment,36.0,10.0,Other,2,1
33,5036469,M,Y,N,0,112500.0,State servant,Secondary,Not married,House / apartment,56.0,4.0,Drivers,2,1
34,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,58.0,2.0,Drivers,2,1
35,5036660,F,Y,Y,0,76500.0,Pensioner,Secondary,Married,House / apartment,65.0,0.0,Other,2,1
36,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary,Married,House / apartment,53.0,4.0,Laborers,2,1
